翻訳ID,日本語,英語,中国語（簡体字）,韓国語,備考
,　よくここまで散らかせるもんだ）,Clean-R cleans up for him every morning?),居然还能乱成这样）,잘도 이 꼴로 만들어 놓네),
hi0021,伝統的なデザインのトロフィーだ。,A gold trophy with an old-school feel.,相当古典的奖杯。,전통적인 디자인을 지닌 트로피다.,
,ザネリが得意のバスケで賞を取った時に,Zanelli won it at a basketball,札内利擅长篮球，这是他比赛赢到的。,농구가 특기인 자넬리가 우승 기념으로,
,もらったらしい。よく自慢してる。,tournament. He's always showing it off.,他总是拿这件事炫耀。,"받은 트로피로, 자주 자랑하곤 한다.",
hi0022,ギムナジウムでは、半年に一度ほど,"Twice a year, the school holds a huge",银河学园每半年都会组织一次,은하학교에서는 반년에 한 번,
,学力の認定テストやスポーツの大会がある。,quiz tournament or sports competition.,大型的学力测试和运动会。,학력 검정 시험과 운동회가 열린다.,
,これは、その大会で優勝した証だ。,This is the prize for whoever wins.,它正是在运动会上拔得头筹的证明。,이것은 대회에서 우승했다는 증거이다.,
hi0023,……\.僕も参加したけど、,"…I actually participated, too. But my",……虽然我也参加了，,……나도 참가했지만 말이야.,
,結果は惨憺たるものだった。,performance was pitiful to say the least.,但只得到惨不忍睹的结果。,결과는 참담했지.,
hi0024,ザネリのシャツだ。,Zanelli's shirt.,札内利的衬衫。,자넬리가 입는 셔츠다.,
,埃まみれになっている。,It's collecting dust…,布满了灰尘。,먼지투성이다.,
hi0025,はやく掃除Rに回収して,I wish he'd let a Clean-R take it instead,都脏成这样了，,청소 R에게 빨리 회수해 달라고,
,もらえばいいのに。,of dumping it like this.,趁早让清洁R收走不好吗？,부탁하면 될 것을.,
hi0026,開けっぱなし。,Zanelli left it open.,门户洞开。,열려 있다.,
hi0027,可愛らしいテディベア。,A cute teddy bear.,可爱的泰迪熊布偶。,귀여운 테디베어다.,
,ザネリが昔から持っていたものと,It's the same as the one Zanelli used to,跟札内利小时候爱不释手的,어릴 적부터 자넬리가 지니던,
,同じ型だ。,have when he was little.,那只是同一型号。,인형과 똑같이 생겼다.,
hi0028,君はあの頃と変わらないな。,"You haven't changed a bit, teddy.",你倒是一点都没变啊。,그때도 지금도 여전하네.,
hi0029,こんばんは！,"Hi, there!",晚上好！,안녕!,
,ボクに何かご用かな？,Do you wanna play?,你找我有事吗？,무슨 일이야?,
hi0030,わ、喋った……,Whoa! Wasn't expecting that.,哇！会说话……,"……! 우와, 말하네….",
,そういえば、R内蔵型なんだっけ。,I forgot it's fitted with R-parts.,对了，这款是内置R的。,"그러고 보니, R 내장형이라 했던가.",
hi0031,……君にもカレルレンの支配が,…I wonder if Karellen controls,……你也在卡列伦的支配之下吗？,……너도 카렐렌의,
,届いてるのかな。,"you, too?",,지배를 받고 있을까?,
hi0032,ボクはザネリくんのクマだよ！,I'm Zanelli's teddy bear!,我是属于札内利的小熊哦！,난 자넬리의 친구 곰이야!,
,おとうさんがザネリくんにくれたんだって。,His dad gave me to him as a gift!,是爸爸送给札内利的！,자넬리네 아빠가 선물로 주셨어.,
hi0033,……父親、か。,"His dad, huh?",……父亲。,……아빠라.,
hi0034,ねぇ、一緒に遊んでよ！,"C'mon, let's play!",来玩嘛！,"저기, 같이 놀자!",
hi0035,今は忙しいから、,Maybe some other time.,我现在很忙，,"미안, 지금은 바빠.",
,また後でね。,I'm kind of busy.,下次吧。,다음에 놀자.,
hi0036,えー。,Aw…,诶～,힝……,
mi0001,ランプRだ。,An Illuminate-R. Besides functioning,这是油灯R。,램프 R이다.,
,照明機能のほかに、監視カメラ機能、音声通信機能,"as a light, it also records audio",除了照明，它还具备很多其他功能。,조명 외에도 감시 카메라나 음성 통신 등,
,など、さまざまな機能がついている。,and video for security purposes.,比如监控摄像、语音通话等等。,다양한 기능이 탑재되어 있다.,
mi0002,Ｒたちは、「為政Ｒ」――通称カレルレンと,"All Rs are connected to the Oversee-R, Karellen,",所有的R，都与“执政R”——卡列伦连线，,"R은 ""정치형 R""...... 통칭 카렐렌과",
,連携していて、僕たちの生活を助けてくれる、,which controls them to enhance our daily lives.,共同为我们的生活提供帮助……,연계하여 우리 생활을 돕고 있다.,
,……らしい。,Or at least...that's what they say.,……据说是这个样子。,......다들 그렇게 알고 있다.,
mi0003,\C[1]（カレルレンはＲだから、,"\C[1](Since Karellen is just an R, I",\C[1]（虽然因为卡列伦是R，,\C[1](카렐렌은 R이니 그다지,
,　別に気にする奴なんかいないけど……）,don't think I need to worry much.),所以好像无人在意这点……）,신경 쓰는 사람은 없겠지만......),
mi0004,\C[1]（これ、日常の全部を　,\C[1](Our every move is being recorded...,\C[1]（但这不就代表，,\C[1](이 R은 하루 동안 일어난,
,　どこかに記録されてるって,Does that mean our daily lives are all,我们的生活细节都会被记录下来，,모든 내용을 어딘가에,
,　ことなんだろうな）,stored in some database...?),保存在某个地方吗？）,기록하고 있을 거야),
hi0037,「デイヴ」という,A plushie from a cartoon.,这个布偶是动画片里的角色，,데이브라는 이름의,
,アニメキャラクターのぬいぐるみ。,His name is Dave.,名叫“戴维”。,애니메이션 캐릭터 인형이야.,
,大昔に母さんが買ってくれたものだ。,Mom bought him for me years ago.,是妈妈很久以前买给我的。,어릴 때 엄마가 사 주셨어.,
hi0037a,大昔に母さんが買ってくれたものだ。,Mom bought him for me years ago.,这是妈妈很久以前买给我的。,어릴 때 엄마가 사 주셨어.,
hi0038,……, … ,……,……,
hi0039,……眺めると心が落ち着いた。,Looking at him makes me feel at ease.,……看着它心里平静很多。,……마음이 차분해지는걸.,
hi0040,僕のゴミ箱。,My trashcan. A Clean-R comes and empties,我的垃圾桶。,내 쓰레기통이야.,
,中身は毎朝、掃除Ｒが回収しにくる。,it every morning.,每天早上，清洁R都会来带走内容物。,매일 아침 청소 R이 회수하러 오지.,
hi0041,僕のタンスだ。中には、「生徒会長」,My dresser. Inside are the necessities.,我的柜子。里面放着学生会长——,"옷장이다. 안에는 ""학생회장""인…",
,――エーミールさんが特別に支給してくれた,"Some underwear, shirts, and lots of",埃米尔会长特别支援我的物资，,에밀 씨가 지급한 특별 학습 단말기와,
,教科書や日用品、下着やシャツが入ってる。,study materials from President Emile.,有课本，日用品，还有内衣和衬衫。,"교과서나 일용품, 속옷, 셔츠 등이 있다.",
hi0042,\C[1]（エーミールさんは、,"\C[1](Before I met Emile, I never studied.",\C[1]（从前我几乎没怎么好好读过书，,\C[1](에밀 씨는 그동안,
,　それまで勉強なんかろくにしてなかった僕に,But he's given me all of the materials,是埃米尔会长给我准备了全套的教材,제대로 공부할 기회가 없던 내게 필요한,
,　一通りの教材と予習機会を用意してくれた）,and opportunities I've needed.),和预习机会）,교재와 예습 기회를 마련해 주셨어),
hi0043,\C[1]（おかげで、下層居住区出身の僕でも,"\C[1](Thanks to him, even someone from",\C[1]（托他的福，出身下层居住区的我,\C[1](덕분에 하층 거주구 출신인 나도,
,　同年代の生徒と一緒に勉強できている。,the Lower District like me can learn,也能和同龄的学生一起学习。,또래 학생과 공부할 수 있게 됐지.,
,　誰よりも感謝してるんだ）,here with his peers. I owe him a lot.),他是我最感激的人）,정말 고마운 일이야),
hi0044,……\.エーミールさんがくれた、たくさんのもの。,Zanelli went to town on all of my things,……都是埃米尔会长送给我的东西。,……에밀 씨가 주신 물건이야.,
,昨日ザネリに荒らされたけど、ちゃんと整えた。,"yesterday, but I've already tidied up.",昨天被札内利翻得乱七八糟，但我收拾好了。,어제 자넬리가 어질렀던 걸 정돈했어.,
hi0045,……うん。,…Nice.,……嗯。,……음.,
,いい配置だ。,I'm so good at arranging things.,这排列很完美。,훌륭해.,
hi0046,ロボット工学三原則,The Three Laws of Robotics,机器人三定律,로봇 공학 3원칙,
hi0047,1.第一条,The First Law,第一条,제1원칙,
hi0047a,ロボットは人間に危害を加えてはならない。,"Robots must never harm human beings,",机器人不得伤害人类，,로봇은 인간에게 해를 입힐 수 없다.,
,また、その危険を看過することによって、,nor can they allow harm to come to human,或坐视人类受到伤害。,또한 그 위험성을 간과하여 인간에게,
,人間に危害を及ぼしてはならない。,beings through inaction.,,위해를 끼쳐서는 안 된다.,
hi0048,2.第二条,The Second Law,第二条,제2원칙,
hi0048b,ロボットは人間にあたえられた命令に,Robots must obey all orders given to them,机器人必须服从人类命令，,로봇은 인간이 내린 명령에,
,服従しなければならない。,by human beings.,,반드시 복종해야 한다.,
,ただし、あたえられた命令が、第一条に反する場合は、,This does not apply to orders which,除非命令与第一法则发生冲突。,단 명령이 제1원칙을 위배하는,
,この限りでない。,conflict with the first law.,,것이라면 예외로 간주한다.,
hi0049,3.第三条,The Third Law,第三条,제3원칙,
hi0049c,ロボットは、前掲第一条および第二条に反する,Robots must protect their own existence as long as,在不违背第一或第二法则之下，,로봇은 제1원칙과 2원칙을 위배하지,
,おそれのないかぎり、自己をまもらなければならない。,their actions do not infringe upon the first two laws.,机器人应当保护自己。,않는 선에서 자신을 지켜야 한다.,
hi0050,— 2058年の「ロボット工学ハンドブック」第56版、,"- The Robot Handbook, 56th Edition (2058)",——引自2058年《机器人工学手册》第56版，,"- 2058년 ""로봇공학 핸드북""",
hi0050d,『われはロボット』より,"from the book ""I, Robot""",《我，机器人》,"제56판 ""나는 로봇""에서 발췌",
hi0051,僕のベッドだ。,My bed.,这是我的床。,내 침대야.,
,生体スキャン装置でもある。,It has a built-in body scan feature.,同时也是生物扫描仪。,생체 스캔 장치기도 하지.,
hi0052,……そうだ。,"Oh, right.",……对了。,……참.,
,生体データを更新しないと。,I need a new scan to update my info.,得更新生物信息。,생체 데이터를 갱신해야겠네.,
hi0053,胃容積：52㎤　血糖値：81mg/dL,Stomach Vol: 52 mL Blood Glucose: 81 mg/dL,胃容积：52㎤　血糖：81mg/dL,위 용적: 52㎤ 혈당: 81mg/dL,
,状態：空腹,Status: Hungry,状态：饥饿,상태: 배고픔,
,生体データを更新しました。,Body data updated.,已更新生物信息。,생체 데이터를 갱신하였습니다.,
hi0054,生体スキャン,Perform body scan,扫描生物状态,생체 스캔,
hi0055,何もしない,Do nothing,什么都不做,하지 않는다,
hi0056,外に用事はない。,I don't need to go outside.,目前没必要外出。,바깥에 볼 일은 없어.,
hi0057,まずは母さんの医療費をなんとかしないと。,I should pay Mom's medical bills first.,我得先想办法交上妈妈的医药费。,우선 엄마 치료비 문제를 해결하자.,下1行を削除（ID分離して残しておきます）
hi0057_del,「例の場所」は学内SNSの左下だったな。,At the bottom left of the school page…,“那个地方”在校内SNS左下角。,접선지는 교내 SNS 왼쪽 아래에 있어.,
hi0058,……と、その前に,"Oops, wait a minute.",……啊，出门之前，,"……이런, 그 전에",
,PCを回収していかないと。,I need to pack my laptop first.,得先收好我的电脑。,PC부터 가져가야겠다.,
hi0059,僕の机。窓からは宙が見える。,My desk. It's got a good view of outer space.,我的桌子。窗外能看到宇宙。,책상이야. 창문 너머로 우주가 보여.,
hi0060,宙では遠く光の粒が輝いている。,I can see the stars twinkling.,许多光粒在远方闪烁。,멀리서 빛 알갱이가 반짝거리네.,
,楽しそうだ。,It must be fun to be a star.,很开心的样子。,즐거워 보여.,
hi0061,………, … ,………,……,
hi0062,僕のPC。父さんの形見らしい。,My laptop. It used to be my dad's.,我的电脑。据说是爸爸留下的东西。,내 PC야. 아빠의 유품이지.,
,母さんから預かったものだ。,My mom passed it down to me.,妈妈把它交给我保管。,엄마에게 받은 거야.,
hi0063,他の人が使う「ジェム」と違って、,"Unlike everyone's NeuraGem devices, it's",它不同于别人使用的“宝石”，,"다른 학생이 사용하는 ""젬""과 달리,",
,ディスプレイ内蔵型の物理式端末。,an Earth model with a built-in display.,是带有显示屏的物理式终端。,디스플레이 내장형의 물리 단말기지.,
hi0064,あまりにも古すぎて、持ってると,"It may be old, but it never fails me.",由于实在是太老古董了，,"굉장히 오래된 물건이라, 지니고 있으면",
,たまに感激される。,It almost feels like an old friend.,偶尔会有人向我表示惊叹。,가끔 마음이 벅차올라.,
hi0065,\C[1]（…\.…\.デスクトップ画像は,\C[1](I've never changed the desktop,\C[1]（……我没有换掉壁纸，,\C[1](……데스크톱 이미지는,
,　母さんが設定したのをそのままにしてるだけ）,background from the picture Mom chose.),只是维持了妈妈当时的设置）,엄마가 설정한 걸 그대로 쓰고 있어),
hi0066,\C[1]（……\|,\C[1](…\|,\C[1]（……\|,\C[1](……\|,
,　母さんからもらったものはこれしかない。,This is the only thing she left me.,妈妈交给我的东西只有这一件。,엄마에게 받은 유일한 물건이야.,
,　大事にしないと）,I should take good care of it.),我得好好珍惜）,소중히 다뤄야 해.),
hi0067,母さん……,Mom…,妈妈……,엄마는……,
,まだ目覚めない、か。,I hope she wakes up soon.,你还醒不过来吗？,여전히 의식 불명 상태신가……,
hi0068,人間スコア：\C[18]\V[3]\C[0],Human Score: \C[18]\V[3]\C[0],人类评分：\C[18]\V[3]\C[0],인간 스코어: \C[18]\V[3]\C[0],
,また、イエハトブ様のご子息であるため,"As Ihatov Stylus's son, access to certain",此外，由于您是伊哈托夫先生之子，,또한 예하토브 님의 자녀 분인 관계로,
,特別な制限が適用されています。,functions has been restricted.,还将受到特殊的限制。,특별 제한이 적용되어 있습니다.,
hi0069,通行許可のため、,"Please state your business, and we will",您提交的外出申请需经过审批，,통행 허가 여부 확인을 위해,
,あなたの目的をお伺いします。,assess whether permission is appropriate.,请提供您此行的目的地。,목적을 확인하겠습니다.,
,どちらへ向かわれますか？,Please state your desired destination.,您要去哪里？,어디로 가십니까?,
hi0070,教室,My classroom,教室,교실,
hi0071,答えない,Don't answer,不回答,답하지 않는다,
hi0072,……確認しました。,Destination confirmed.,……确认完毕。,……확인하였습니다.,
,教室以外への立ち寄りは許可されません。,Making additional stops is prohibited.,请沿既定路线，径直前往教室。,교실 외 장소는 갈 수 없습니다.,
,教室へまっすぐ向かってください。,Proceed directly to your classroom.,途中禁止绕行其他地点。,즉시 교실로 향하십시오.,
hi0073,はいはい、わかったよ。,"Yeah, yeah. I got it…",好好好，知道了。,"그래, 알았어, 알았다니까.",
,うるさいな。,You're always so pushy.,真够啰嗦的。,빽빽거리기는.,
hi0074,「授業まであと３分です。,"""Class will begin in three minutes.",“您的课程将于3分钟后开始。,"""수업 시작까지 3분 남았습니다.",
,　ＡＲ教室へお急ぎください。」,"Please proceed to the AR room at once.""",请尽快前往AR教室。”,"서둘러 AR 교실로 이동하십시오.""",。追加　翻訳出し直し必要なし
hi0075,「Robotics-based Knowledge-Adaptive,"""Robotics-based Knowledge-Adaptive","""Robotics-based Knowledge-Adaptive","""Robotics-based Knowledge-Adaptive",
,　Ruling Engine for Lucid Leadership and,Ruling Engine for Lucid Leadership and,Ruling Engine for Lucid Leadership and,Ruling Engine for Lucid Leadership and,
,　Effective Navigation」,"Effective Navigation""","Effective Navigation""","Effective Navigation""",
hi0076,（ロボティクス技術をベースにした知識適応型,(An adaptive artificial intelligence,（基于机器人科技的知识自适应统治引擎，,(명석한 리더십과 효율적인,
,　統治エンジン、明晰なリーダーシップと,system created with robotics technology,为清醒的决断力及高效引导而生）,내비게이션을 위한 로보틱스 기술,
,　効率的なナビゲーションのための）　,to help lead and govern humanity.),,기반의 지식 적응형 통치 엔진),
hi0077,「通称R・カレルレンは,"""R. Karellen is an adaptive artificial",“知识自适应统治引擎——R·卡列伦，,"""통칭 R-카렐렌은 개인에게",
,　個人に最適なアドバイスを送る,intelligence designed to provide each,为您提供最精准的生活建议。,최적의 조언을 전달하는,
,　知識適応型統治エンジンです。,individual with optimal advice.,,지식 적응형 통치 엔진입니다.,
hi0078,　R・カレルレンは、,An Oversee-R created for the sole purpose,R·卡列伦是为实现全银河真正幸福而生的,저 R-카렐렌은 전 인류가,
,　全人類の真の幸福を実現する,of bringing true happiness and prosperity,执政R。,진정한 행복을 누릴 목적으로,
,　ために生まれた為政Ｒです。,to humans across the galaxy.,,탄생한 정치형 R입니다.,
,,,,,PV版と異なる翻訳
hi0079,　これからもカレルレンは、,It is my duty to guide humanity,今后，卡列伦也将继续引导全人类走向,앞으로도 저 카렐렌은 전 인류를,
,　全人類を幸福に導きます。,into a bright and happy future.,幸福生活。,행복으로 이끌 것입니다.,
,　あなたの幸福を祈っています。」,"From now, until the end of time.""",卡列伦愿您幸福。”,"여러분에게 행복이 있기를 기원합니다.""",。追加　翻訳出し直し必要なし
,,,,,PV版と異なる翻訳
hi0080,これ以上人間スコアを下げたくない。,I can't let my human score drop any more.,我不想再被扣分了。,이 이상 인간 스코어를 낮출 순 없어.,
,早く戻ろう……,I should head back…,赶快回去吧……,빨리 돌아가자……,
hi0081,この扉はロックされています。,The door is locked.,此门上锁。,문이 잠겼습니다.,
hi0082,現在掃除中です。,Cleaning now in progress.,正在清扫。,현재 청소 중입니다.,
hi0083,自律移動停止,Stop Auto Clean,停止自主行动,자율 이동 정지,
hi0084,自律移動開始,Resume Auto Clean,开始自主行动,자율 이동 시작,
hi0085,照明オフ,Turn lights OFF,关闭照明,조명 OFF,
hi0086,照明オン,Turn lights ON,开启照明,조명 ON,
hi0088,あれ？,Huh? What gives?,奇怪……,어라?,
hi0089,この扉は、オブライエン様により,This door has been manually locked,此门已由奥布赖恩同学手动上锁。,오브라이언 님이 수동으로,
,手動ロックされています。,by Mr. O'Brien.,,문을 잠그셨습니다.,
hi0090,\C[1]（ザネリ……！,\C[1](That asshole…,\C[1]（札内利……！,\C[1](자넬리……!,
,　くそ、あいつ、面倒なタイミングで……）,He totally did this on purpose!),可恶，偏偏挑这种时候给我找麻烦……）,"젠장, 그 자식, 하필 이럴 때……)",
hi0090a,…\.…\.…\.…,…\.…\.…\.…,…\.…\.…\.…,…\.…\.…\.…,
hi0091,\C[1]（仕方ない。\.\.,\C[1](Guess I have no choice.,\C[1]（没办法了。,\C[1](할 수 없지.,
,　「アレ」で突破するか……）,I'll need to use my secret weapon.),用“那个”强行突破吧……）,그걸 써서 해결할까……),
hi0092,\C[1]（寮にある設備のR-codeは、前に,\C[1](Good thing I did some research,\C[1]（宿舍里所有设备的R-code，,\C[1](기숙사 내부 설비용 R-codes는,
,　一通り調べたことがある。,on R-codes around the dorm. This door's,我都事先查过一遍。,전에 조사한 적이 있어. 이 문은 분명…,
,　この扉は確か「Classroom Sesame - 3C01」だ）,"code should be ""Classroom Sesame - 3C01"".)",记得这扇门应该是“Classroom Sesame - 3C01”）,Classroom Sesame - 3C01였지),
hi0093,……扉のロックを解除した。,The door has been unlocked.,……已开锁。,……잠금 장치를 해제했습니다.,
hi0094,\C[1]（……できた。,\C[1](The program I designed can hack,\C[1]（这种简单的破解，,\C[1](내가 만든 프로그램이라면,
,　簡単なハッキングなら,into something like this in one shot.),用我写的程序一下就能搞定）,간단한 해킹 정도는 한 방이지.),
,　僕の組んだプログラムで１発だ）,,,,
ho00951,"おおっ、ナイスキャッチだジョバンニ！
",Good thing your big-ass head was there!,呦！接得挺准嘛，乔班尼！,"오, 조반니, 나이스 캐치!",
,"お前の頭で、卓上クリーナーＲくんは守られた！
",Otherwise that Wipe-R woulda been toast.,多亏有你的脑袋垫着，桌面清洁仪R保住啦！,네 얼굴이 탁상 청소 R을 지켰네!,
ho00952,やるじゃんか。,"I've gotta give you some credit, man…",挺厉害嘛。,제법인데.,
,最低スコアでも、それくらいは,"Even with a piss-poor score like yours,",看来就算分数最低，,스코어 최하점도 이럴 때는,
,役に立てるんだな！,you're still useful as a human shield!,这点用场还是派得上的啊！,도움이 되는걸!,
ho00953,卓上クリーナー……？\.\.,Wipe-R…?\.\.,桌面清洁仪……？\.\.,탁상 청소……?\.\.,
,…\.…\.あれか。,"…\.\.Oh, that.",…\.…\.那个啊。,…\.…\.방금 그거 말이구나.,
ho00954,さっきの、君が仕掛けたんだな。,Another one of your pranks?,所以……,자넬리.,
,ザネリ。,"Very funny, Zanelli.",札内利，刚才是你干的好事？,아까 그것도 네 짓이지?,
ho00955,まあな。当然だろ？,Heh. That's what you get.,对啊，怎么了？,물론이지. 당연한 거 아니야?,
,遅刻した奴にはお仕置きしないと。,Losers like you need to be punished.,迟到的家伙就得罚，否则不长记性。,늦은 녀석에게는 벌을 내려야지.,
ho00956,…\.…\.,…\.…\.,…\.…\.,…\.…\.,
hi0096,ジョバンニ、ちょうどいいところに来たね！,"Giovanni, good of you to join! I was just",乔班尼，你来得真准时呀！,"조반니, 마침 잘 왔어요!",
,これから教材を投影するから、好きな場所に,about to introduce your favorite subject.,接下来我会把教材投影到屏幕上，,"이제 교재를 투영할 테니,",
,立って聞いててね♪,"Pick a spot and listen up, hm?",选一个你喜欢的地方站着听课吧♪,원하는 곳에 서서 들으세요♪,
hi0097,わ……,Whoa…,哇……,와……,
,\C[1]（綺麗だ）,\C[1](It's beautiful…),\C[1]（好漂亮）,\C[1](아름답네),
hi0098,さて、これが僕たちの住む,"Here, we have our home.",那么各位同学，,"자, 여기가 우리가 사는",
,「カレルレニア共生体」全域だ。,The entire Karellenian Symbiote.,这就是我们居住的“卡列伦尼亚共生体”全域。,카렐레니아 공생체 지도입니다.,
hi0099,約1200年前――僕たちの便利な支配者,Twelve centuries ago—all of humanity was,大约1200年前——我们便利的统治者,"약 1,200년 전, 우리의 편리한 지배자",
,「Ｒ・カレルレン」は、人類の生存圏を統一し、,unified under the control of R. Karellen,R·卡列伦统一了人类的生存圈，,R-카렐렌은 인류 생존권을 통합하고,
,その場所を「カレルレニア共生体」と名付けた。,and dubbed the Karellenian Symbiote.,并将它命名为“卡列伦尼亚共生体”。,"이를 ""카렐레니아 공생체""라 명명했죠.",
hi0100,これが「宇宙暦」――,Thus began the Galactic Era—,这一举动，宣告了“宇宙历”——,"이것이 ""우주력""……",
,《カレルレン紀元》のはじまりだ。,and the beginning of the Karellen Epoch.,“卡列伦纪元”的开始。,<카렐렌 기원>의 시초입니다.,
hi0101,ちなみに、カレルレニア共生体では,"In the Karellenian Symbiote, the letters",另外，卡列伦尼亚共生体内部，,"여담으로, 카렐레니아 공생체는",
,カレルレン以前のことをＢＫ（紀元前）、,BK denote the years before the coming,把卡列伦之前的时代称为BK(纪元前)，,"카렐렌 이전 기록을 BK(기원전),",
,カレルレン以後をＡＥ（紀元後）と呼ぶ。,"of Karellen, while our current era is AE.",之后则是叫AE(纪元后)。,카렐렌 이후 기록을 AE(기원후)라 불렀죠.,
hi0102,それぞれ、何の略か。,These are actually abbreviations!,这两个说法分别是什么词组的缩写呢？,무슨 약자일까요?,
,わかる人！,Does anyone know what they stand for?,哪位同学知道呀？,아는 사람!,
hi0103,知ってる。「before Karellen」と,"That's easy. BK is ""before Karellen""",不就是“before Karellen”，,"당연히 ""before Karellen"",",
,「anno Evolutionis」だろ。,"and AE is ""anno Evolutionis,"" right?",和“anno Evolutionis”嘛。,"그리고 ""Anno Evolutionis""지.",
ho01032,「地球語」だっけ。意味は、たしか……\.\.,"That was Earthling speak for, uh…\.\.",这好像是“地球语”吧。意思是……\.\.,지구어였던가? 뜻은 분명……\.\.,
